City,Country,latitude,longitude,n_incidents,n_kill
Ballyronan,United Kingdom,54.707756,-6.53233,4,6
Edenbridge,United Kingdom,51.192882,0.066265,1,0
Chalchuapa,El Salvador,13.986667,-89.681111,13,61
Gaborone,Botswana,-24.658056,25.912222,7,5
Takeley,United Kingdom,51.867881,0.266391,1,0
Laurel,United States,39.099169,-76.848461,3,3
Batley,United Kingdom,53.717059,-1.635032,1,12
Kuwait,Kuwait,29.347702,47.94912,43,59
Darmstadt,West Germany (FRG),49.87242,8.650855,6,0
Cologne,West Germany (FRG),50.940664,6.959912,59,6
Little Chalfont,United Kingdom,51.669303,-0.563143,1,0
Tredudon,France,48.416095,-3.832245,1,0
Loughgall,United Kingdom,54.411142,-6.600146,7,15
Toulouse,France,43.604652,1.444209,35,5
Lavrion,Greece,37.714961,24.057122,1,2
Oaxaca,Mexico,17.054348,-96.712954,16,17
Donaghmore,United Kingdom,54.530715,-6.811011,5,6
Los Altos,United States,37.383075,-122.114149,1,0
Clones,Ireland,54.183,-7.23371,2,2
Magherafelt,United Kingdom,54.755402,-6.606029,17,8
Acapulco,Mexico,16.863443,-99.881597,11,12
Folcroft,United States,39.891141,-75.283596,1,0
Hermosillo,Mexico,29.089186,-110.96133,2,1
Bastia,France,42.699997,9.447317,226,10
Asmara,Ethiopia,15.333513,38.933652,9,45
Jardin Lomas del Palomar,Argentina,-34.68631,-58.528473,1,0
Kingston,Jamaica,18.021429,-76.798279,28,29
Ripon,United Kingdom,54.138781,-1.524212,2,0
Azpeitia,Spain,43.1839,-2.265466,12,5
Otterburn,United Kingdom,55.232182,-2.183365,1,1
Qiryat Shemona,Israel,33.208509,35.570348,13,43
Olongapo,Philippines,14.838794,120.285018,8,16
Chipstead,United Kingdom,51.315391,-0.164568,1,1
Moneymore,United Kingdom,54.692009,-6.6703,5,6
Bardai,Chad,21.436084,17.112289,1,0
Guaynabo,United States,18.357497,-66.111137,3,0
Muang Pattani district,Thailand,6.869484,101.250483,33,19
Sanaa,North Yemen,15.325443,44.211895,472,1000
